timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718096541572,450,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,2164,197,2,2,http://192.168.196.143:3000/title_basics?title=The%20Santa%20Clause%203:%20The%20Escape%20Clause&page=1,450,0,0
1718096542048,398,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,1202,196,2,2,http://192.168.196.143:3000/title_basics?title=Sentenced%20to%20Boil!%20Oden's%20Deadly%20Hour!&page=1,398,0,0
1718096542437,403,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,2371,175,2,2,http://192.168.196.143:3000/title_basics?title=Letters%20from%20Iwo%20Jima&page=1,402,0,0
1718096542837,110,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,5311,153,2,2,http://192.168.196.143:3000/title_basics?title=Chaos&page=1,109,0,0
1718096543233,305,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,7413,161,2,2,http://192.168.196.143:3000/title_basics?title=Civilizations&page=1,304,0,0
1718096543349,515,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6388,152,3,3,http://192.168.196.143:3000/title_basics?title=Skam&page=1,515,0,0
1718096543938,380,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,1163,174,3,3,http://192.168.196.143:3000/title_basics?title=Johnny%20in%20the%20Clouds&page=1,380,0,0
1718096544055,491,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,5510,167,3,3,http://192.168.196.143:3000/title_basics?title=The%20Hurt%20Locker&page=1,490,0,44
1718096544273,415,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6363,160,3,3,http://192.168.196.143:3000/title_basics?title=First%20Kill&page=1,415,0,0
1718096544715,292,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,6207,156,3,3,http://192.168.196.143:3000/title_basics?title=Sideways&page=1,291,0,0
1718096544943,115,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,5645,153,3,3,http://192.168.196.143:3000/title_basics?title=X-Men&page=1,113,0,0
1718096545093,433,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6193,168,3,3,http://192.168.196.143:3000/title_basics?title=The%20Green%20Hornet&page=1,432,0,0
1718096545480,434,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,6219,156,3,3,http://192.168.196.143:3000/title_basics?title=Snowfall&page=1,434,0,0
1718096545413,501,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,6453,165,3,3,http://192.168.196.143:3000/title_basics?title=Touch%20of%20Evil&page=1,501,0,0
1718096545924,408,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,1183,199,3,3,http://192.168.196.143:3000/title_basics?title=C.S.A.:%20The%20Confederate%20States%20of%20America&page=1,408,0,0
1718096546322,175,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,6683,177,3,3,http://192.168.196.143:3000/title_basics?title=Avengers:%20Age%20of%20Ultron&page=1,174,0,0
1718096546318,433,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,4579,210,3,3,http://192.168.196.143:3000/title_basics?title=Star%20Wars:%20Episode%20V%20-%20The%20Empire%20Strikes%20Back&page=1,433,0,0
1718096546739,425,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6166,166,3,3,http://192.168.196.143:3000/title_basics?title=Mulholland%20Drive&page=1,425,0,0
1718096546918,253,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,7878,168,3,3,http://192.168.196.143:3000/title_basics?title=Now%20You%20See%20Me&page=1,250,0,0
1718096547588,1090,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,2416,160,3,3,http://192.168.196.143:3000/title_basics?title=Four%20Lions&page=1,1090,0,0
1718096547164,1514,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,7818,159,3,3,http://192.168.196.143:3000/title_basics?title=Red%20Dwarf&page=1,1514,0,0
1718096547574,1153,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,5406,172,3,3,http://192.168.196.143:3000/title_basics?title=The%20Bourne%20Ultimatum&page=1,1152,0,0
1718096549072,115,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,5656,152,3,3,http://192.168.196.143:3000/title_basics?title=Dune&page=1,113,0,0
1718096549138,201,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,7522,161,3,3,http://192.168.196.143:3000/title_basics?title=Tooth%20Fairy&page=1,200,0,0
1718096549072,390,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,2356,193,3,3,"http://192.168.196.143:3000/title_basics?title=Lock,%20Stock%20and%20Two%20Smoking%20Barrels&page=1",390,0,0
1718096549593,416,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,3150,178,3,3,http://192.168.196.143:3000/title_basics?title=300:%20Rise%20of%20an%20Empire&page=1,416,0,0
1718096549730,427,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6122,180,3,3,http://192.168.196.143:3000/title_basics?title=The%20Silence%20of%20the%20Lambs&page=1,426,0,0
